City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,kisangani,0.5167,25.2,23.09,94,100,0.87,CD,1712352282
167,bardai,11.65,7.2333,32.18,28,82,2.72,NG,1712352282
168,grand falls-windsor,48.9332,-55.6649,0.84,88,100,2.24,CA,1712352282
169,nishinoomote,30.7333,131.0,18.86,89,100,8.77,JP,1712352283
170,hami,42.8,93.45,10.8,50,100,2.83,CN,1712352283
171,carutapera,-1.195,-46.02,25.76,92,100,3.29,BR,1712352283
172,tsiombe,-25.3,45.4833,22.85,87,0,0.6,MG,1712352284
173,queenstown,-31.8976,26.8753,12.12,86,100,3.66,ZA,1712352284
174,dubbo,-32.25,148.6167,16.07,94,100,2.57,AU,1712352284
175,montepuez,-13.1256,38.9997,21.52,99,83,1.17,MZ,1712352285
176,yumaguzino,52.9041,56.3933,3.09,96,100,1.43,RU,1712352285
177,chernomorskoye,45.5039,32.6997,10.72,71,3,0.69,UA,1712352285
178,hadibu,12.65,54.0333,26.38,71,4,2.25,YE,1712352286
179,anadyr,64.75,177.4833,-17.72,71,0,3.0,RU,1712352139
180,sur,22.5667,59.5289,26.23,66,0,4.62,OM,1712352286
181,gislaved,57.3044,13.5408,8.39,85,100,0.89,SE,1712352287
182,rio grande,-32.035,-52.0986,22.06,63,0,4.0,BR,1712351944
183,bulgan,48.8125,103.5347,2.92,60,15,1.87,MN,1712352287
184,zhabinka,52.1984,24.0115,9.91,84,100,3.52,BY,1712352288
185,ad dilam,23.9915,47.1627,24.23,20,65,1.73,SA,1712352288
186,mahina,-17.5065,-149.489,30.87,70,40,7.72,PF,1712352223
187,hilo,19.7297,-155.09,25.85,57,75,3.47,US,1712352289
188,saipan,15.1355,145.701,27.39,78,75,5.14,MP,1712352219
189,santa cruz del sur,20.7147,-77.9956,29.2,56,0,5.56,CU,1712352290
190,gunbarrel,40.0634,-105.1711,25.12,14,0,10.28,US,1712352290
191,banamba,13.55,-7.45,36.59,17,56,3.01,ML,1712352290
192,swift current,50.2834,-107.8014,5.45,81,75,5.14,CA,1712352291
193,christchurch,-43.5333,172.6333,12.73,83,100,2.06,NZ,1712352273
194,yerofey pavlovich,53.9667,121.9667,-11.68,84,64,1.69,RU,1712352291
195,yellowknife,62.456,-114.3525,0.31,59,20,8.75,CA,1712352178
196,sogndal,61.2283,7.1003,2.21,64,100,2.06,NO,1712352292
197,ponce,18.073,-66.6185,29.95,85,51,2.65,PR,1712352217
198,champerico,14.3,-91.9167,35.3,62,0,5.5,GT,1712352292
199,st. john's,47.5649,-52.7093,-0.74,95,100,5.66,CA,1712352293
200,porto novo,6.4965,2.6036,27.9,78,100,4.01,BJ,1712352293
201,viitasaari,63.0667,25.8667,-5.2,94,100,4.18,FI,1712352293
202,paita,-5.0892,-81.1144,24.77,72,99,7.07,PE,1712352294
