City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,ceerigaabo,10.6162,47.368,17.78,75,7,2.69,SO,1712702151
247,kourou,5.1552,-52.6478,27.03,87,83,2.77,GF,1712701862
248,vyyezdnoye,55.3815,43.7864,10.23,93,99,0.51,RU,1712702152
249,thunder bay,48.4001,-89.3168,7.99,81,100,2.57,CA,1712701880
250,vilyuchinsk,52.9306,158.4028,3.29,99,100,1.22,RU,1712702153
251,pontianak,-0.0333,109.3333,24.99,100,75,1.54,ID,1712702153
252,santiago de cao,-7.9589,-79.2392,23.07,78,66,6.17,PE,1712702153
253,peniche,39.3558,-9.3811,12.84,82,5,8.65,PT,1712702154
254,chimore,-16.9833,-65.1333,24.51,97,100,0.71,BO,1712702154
255,palavas-les-flots,43.528,3.9271,11.99,57,0,7.2,FR,1712702154
256,rakops,-21.0167,24.3333,21.28,36,42,3.19,BW,1712702155
257,awjilah,29.1081,21.2869,16.75,51,42,3.77,LY,1712702155
258,keflavik,64.0049,-22.5624,1.24,80,75,1.03,IS,1712702155
259,banjarmasin,-3.3244,114.591,24.57,96,97,1.02,ID,1712701859
260,saint-joseph,-21.3667,55.6167,23.21,83,43,2.69,RE,1712702156
261,bowen,-20.0167,148.2333,26.39,62,54,5.78,AU,1712701957
262,uturoa,-16.7333,-151.4333,28.95,76,97,5.18,PF,1712702157
263,atherton,53.5237,-2.4935,7.61,74,1,3.92,GB,1712702157
264,darhan,49.4867,105.9228,5.17,83,7,2.93,MN,1712701810
265,broome,42.2506,-75.833,23.21,24,0,2.24,US,1712701810
266,srandakan,-7.9386,110.2506,25.23,93,100,1.1,ID,1712701811
267,kruisfontein,-34.0033,24.7314,16.6,84,63,7.24,ZA,1712701723
268,qala i naw,34.9874,63.1289,12.45,67,0,1.67,AF,1712701812
269,sakaiminato,35.55,133.2333,4.99,93,40,2.06,JP,1712701813
270,bayburt,40.2589,40.2278,7.72,78,100,1.77,TR,1712701813
271,zouerate,22.7187,-12.4521,23.17,29,0,1.46,MR,1712701814
272,glushkovo,51.3392,34.6328,15.09,67,6,2.17,RU,1712701814
273,hami,42.8,93.45,15.05,20,38,3.83,CN,1712701815
274,avarua,-21.2078,-159.775,26.03,89,20,5.66,CK,1712701637
275,praia da vitoria,38.7333,-27.0667,18.14,88,75,10.63,PT,1712701816
276,yanam,16.7333,82.2167,23.6,94,0,0.99,IN,1712701816
277,kavaratti,10.5669,72.642,29.21,65,68,3.4,IN,1712701816
278,fiano romano,42.1595,12.5942,16.82,87,100,0.45,IT,1712701818
279,nova vicosa,-17.8919,-39.3719,25.9,83,25,2.76,BR,1712701819
280,villa huidobro,-34.8383,-64.5869,17.61,56,1,4.79,AR,1712701819
281,taksimo,56.3444,114.8794,-9.07,78,8,0.3,RU,1712701819
282,embarcacion,-23.209,-64.096,25.12,96,74,1.61,AR,1712701820
283,nsanje,-16.92,35.262,23.71,93,100,0.9,MW,1712701820
284,paphos,34.7667,32.4167,16.88,63,40,0.51,CY,1712701808
285,evanston,42.0411,-87.6901,18.31,43,40,4.63,US,1712701612
286,kerikeri,-35.2268,173.9474,22.17,82,83,4.82,NZ,1712701544
287,al bawiti,28.3492,28.8659,16.82,47,26,4.11,EG,1712701821
288,borovsk,55.2064,36.4861,16.85,67,100,3.51,RU,1712701822
289,borogontsy,62.6683,131.1683,-9.09,98,100,1.35,RU,1712701822
290,mansourah,31.0364,31.3807,12.6,89,0,2.3,EG,1712701822
291,vizinga,61.0749,50.1031,-0.12,97,98,1.03,RU,1712701823
292,xining,36.6167,101.7667,4.32,80,100,0.69,CN,1712701823
293,general villegas,-35.0328,-63.0125,20.48,51,22,6.21,AR,1712701712
294,christchurch,-43.5333,172.6333,26.34,52,89,2.57,NZ,1712701999
295,manicore,-5.8092,-61.3003,24.77,95,100,1.38,BR,1712702189
296,island harbour,50.724,-1.2758,9.43,78,8,2.24,GB,1712702196
297,gwanda,-20.9333,29.0,21.47,75,98,2.35,ZW,1712702197
298,amboasary,-25.0333,46.3833,24.28,87,99,2.11,MG,1712702197
299,slyudyanka,51.6594,103.7061,-0.92,93,48,1.06,RU,1712702197
300,goure,13.9835,10.2704,28.35,17,82,3.04,NE,1712702198
301,hammerfest,70.6634,23.6821,1.25,86,100,5.66,NO,1712702198
302,ust'-ordynskiy,52.805,104.7508,1.85,66,55,2.24,RU,1712702199
303,riosucio,5.4216,-75.7032,23.62,89,99,1.28,CO,1712702199
304,saudarkrokur,65.7461,-19.6394,-2.55,87,100,2.51,IS,1712702200
305,maralal,1.0968,36.698,15.77,87,83,1.05,KE,1712702202
306,camocim,-2.9022,-40.8411,25.93,91,100,3.54,BR,1712702203
307,village of oak creek (big park),34.7809,-111.7623,23.21,15,0,2.06,US,1712702203
308,ad dabbah,18.05,30.95,23.95,11,95,4.87,SD,1712702204
309,pitimbu,-7.4706,-34.8086,27.33,83,100,6.62,BR,1712702204
310,ishinomaki,38.4167,141.3,6.0,58,0,6.12,JP,1712702204
311,piacabucu,-10.4056,-36.4344,27.58,76,80,3.54,BR,1712702205
312,trani,41.2727,16.4154,18.81,63,100,1.75,IT,1712702205
313,east ballina,-28.8667,153.5833,19.33,63,17,6.69,AU,1712702172
314,usogorsk,63.4106,48.6872,-1.3,96,97,1.6,RU,1712702206
315,pelham,33.2857,-86.81,18.31,98,100,2.06,US,1712702093
316,saurimo,-9.6608,20.3916,19.23,97,98,1.37,AO,1712702207
317,maun,-19.9833,23.4167,21.16,44,48,3.2,BW,1712702207
318,arzgir,45.3728,44.2206,10.09,72,22,3.87,RU,1712702208
319,gutao,37.2025,112.1781,13.13,64,98,1.15,CN,1712702208
320,singkil,-7.9855,111.4161,24.43,93,100,1.5,ID,1712702209
321,mejit,10.2753,170.8646,26.95,84,95,9.16,MH,1712702209
322,ciudad choluteca,13.3003,-87.1908,39.04,37,20,3.6,HN,1712702210
323,punta del este,-34.9667,-54.95,21.06,89,75,3.6,UY,1712702210
324,khandyga,62.6667,135.6,-6.49,93,100,0.25,RU,1712702210
325,kirakira,-10.4544,161.9205,30.02,74,100,3.31,SB,1712701948
326,akureyri,65.6835,-18.0878,-0.04,69,75,0.51,IS,1712702006
327,arica,-18.475,-70.3042,24.75,68,0,3.6,CL,1712701727
328,bokkos,9.3,9.0,23.04,43,100,4.06,NG,1712702212
329,galax,36.6612,-80.924,12.97,95,100,2.24,US,1712702138
330,peterhead,57.5058,-1.7981,6.22,81,63,11.44,GB,1712702213
331,suva,-18.1416,178.4415,29.71,74,75,5.66,FJ,1712701935
332,manta,-0.95,-80.7333,27.88,74,0,8.05,EC,1712702214
333,nuuk,64.1835,-51.7216,-2.66,74,20,2.57,GL,1712702162
334,warrnambool,-38.3833,142.4833,15.21,78,82,4.83,AU,1712702215
335,kabalo,-6.05,26.9167,21.78,95,80,0.35,CD,1712702216
336,bubaque,11.2833,-15.8333,24.3,70,56,5.29,GW,1712702216
337,hailin,44.5833,129.4167,2.96,31,27,1.74,CN,1712702216
338,la'ie,21.6477,-157.9253,27.98,68,25,7.93,US,1712702217
339,quellon,-43.1167,-73.6167,8.71,79,9,4.39,CL,1712702144
340,wanning,18.8003,110.3967,25.24,93,100,1.76,CN,1712702217
341,qui nhon,13.7667,109.2333,26.06,80,100,2.25,VN,1712702218
342,kaa-khem,51.6833,94.7333,7.45,92,100,2.65,RU,1712701973
343,lerwick,60.1545,-1.1494,7.0,82,100,6.88,GB,1712702218
344,vilhena,-12.7406,-60.1458,25.12,88,40,2.57,BR,1712702156
345,oliver,49.1831,-119.5524,16.14,18,6,4.63,CA,1712702219
346,partenit,44.578,34.3446,13.92,69,1,5.14,UA,1712702220
347,springbok,-29.6643,17.8865,13.05,76,0,1.86,ZA,1712702220
348,cooma,-36.2333,149.1333,6.57,68,65,5.18,AU,1712702221
349,benghazi,32.1167,20.0667,17.3,74,71,3.57,LY,1712702221
350,lodja,-3.4833,23.4333,21.56,98,87,0.32,CD,1712702223
351,hobyo,5.3505,48.5268,28.13,71,79,5.32,SO,1712702223
352,yeppoon,-23.1333,150.7333,19.88,50,0,5.93,AU,1712702224
353,amahai,-3.3333,128.9167,26.71,82,94,1.22,ID,1712702224
354,rio gallegos,-51.6226,-69.2181,8.03,49,20,9.77,AR,1712702224
355,salinas,36.6777,-121.6555,25.35,63,0,5.66,US,1712702026
356,mount gambier,-37.8333,140.7667,15.91,71,84,3.47,AU,1712702225
357,rosso,16.4986,-15.8153,21.56,49,0,6.67,SN,1712702226
358,namdrik,5.5994,168.1028,28.21,82,100,8.42,MH,1712702226
359,bridgetown,13.1,-59.6167,27.27,74,40,5.66,BB,1712702226
360,recreo,-29.2818,-65.061,21.69,79,32,3.33,AR,1712702227
361,sheopur,25.6667,76.7,28.54,23,91,1.84,IN,1712702014
